2342,230563.000,44.399810046,8.937688985,104.1141,6,22,3.4615,2.4418,7.4228,-0.6354,1.3143,-0.7800,0.00,0.0
2342,230564.000,44.399809489,8.937689212,104.2067,6,22,2.4598,1.7343,5.2956,-0.4554,0.9426,-0.5942,0.00,0.0
2342,230565.000,44.399808959,8.937689411,104.2200,6,22,2.0118,1.4181,4.3402,-0.3736,0.7734,-0.4999,0.00,0.0
2342,230566.000,44.399808847,8.937689659,104.2045,6,22,1.7438,1.2291,3.7680,-0.3244,0.6715,-0.4414,0.00,0.0
2342,230567.000,44.399808607,8.937690011,104.1592,6,22,1.5606,1.0998,3.3767,-0.2906,0.6016,-0.4008,0.00,0.0
2342,230568.000,44.399808163,8.937689992,104.0933,6,22,1.4252,1.0043,3.0877,-0.2656,0.5498,-0.3706,0.00,0.0
2342,230569.000,44.399807838,8.937689984,103.9883,6,22,1.3198,0.9300,2.8630,-0.2461,0.5095,-0.3471,0.00,0.0
2342,230570.000,44.399807598,8.937689863,103.8715,6,22,1.2349,0.8700,2.6819,-0.2304,0.4769,-0.3282,0.00,0.0
2342,230571.000,44.399807485,8.937689625,103.7852,6,22,1.1645,0.8204,2.5320,-0.2174,0.4499,-0.3126,0.00,0.0
2342,230572.000,44.399807441,8.937689616,103.7422,6,22,1.1049,0.7783,2.4052,-0.2064,0.4270,-0.2994,0.00,0.0
2342,230573.000,44.399807463,8.937689676,103.7033,6,22,1.0537,0.7422,2.2962,-0.1969,0.4073,-0.2881,0.00,0.0
2342,230574.000,44.399807569,8.937689688,103.6665,6,22,1.0090,0.7106,2.2012,-0.1886,0.3901,-0.2783,0.00,0.0
2342,230575.000,44.399807627,8.937689701,103.6376,6,22,0.9695,0.6828,2.1174,-0.1813,0.3750,-0.2697,0.00,0.0
2342,230576.000,44.399807558,8.937689639,103.6007,6,22,0.9343,0.6580,2.0428,-0.1747,0.3614,-0.2621,0.00,0.0
2342,230577.000,44.399807415,8.937689696,103.5653,6,22,0.9027,0.6357,1.9759,-0.1689,0.3493,-0.2552,0.00,0.0
2342,230578.000,44.399807326,8.937689680,103.5423,6,22,0.8742,0.6155,1.9154,-0.1636,0.3383,-0.2491,0.00,0.0
