$TROP,2342,230563.000,6,1,2.3873,0.1200,,,,,,,,,
$TROP,2342,230564.000,6,1,2.3874,0.1200,,,,,,,,,
$TROP,2342,230565.000,6,1,2.3875,0.1199,,,,,,,,,
$TROP,2342,230566.000,6,1,2.3876,0.1199,,,,,,,,,
$TROP,2342,230567.000,6,1,2.3876,0.1199,,,,,,,,,
$TROP,2342,230568.000,6,1,2.3877,0.1199,,,,,,,,,
$TROP,2342,230569.000,6,1,2.3878,0.1199,,,,,,,,,
$TROP,2342,230570.000,6,1,2.3880,0.1198,,,,,,,,,
$TROP,2342,230571.000,6,1,2.3881,0.1198,,,,,,,,,
$TROP,2342,230572.000,6,1,2.3883,0.1198,,,,,,,,,
$TROP,2342,230573.000,6,1,2.3884,0.1198,,,,,,,,,
$TROP,2342,230574.000,6,1,2.3886,0.1198,,,,,,,,,
$TROP,2342,230575.000,6,1,2.3888,0.1197,,,,,,,,,
$TROP,2342,230576.000,6,1,2.3890,0.1197,,,,,,,,,
$TROP,2342,230577.000,6,1,2.3892,0.1197,,,,,,,,,
$TROP,2342,230578.000,6,1,2.3894,0.1197,,,,,,,,,
$TROP,2342,230579.000,6,1,2.3896,0.1197,,,,,,,,,
$TROP,2342,230580.000,6,1,2.3898,0.1197,,,,,,,,,
$TROP,2342,230581.000,6,1,2.3900,0.1196,,,,,,,,,
$TROP,2342,230582.000,6,1,2.3904,0.1196,,,,,,,,,
$TROP,2342,230583.000,6,1,2.3906,0.1196,,,,,,,,,
$TROP,2342,230584.000,6,1,2.3909,0.1196,,,,,,,,,
$TROP,2342,230585.000,6,1,2.3911,0.1196,,,,,,,,,
$TROP,2342,230586.000,6,1,2.3913,0.1195,,,,,,,,,
$TROP,2342,230587.000,6,1,2.3916,0.1195,,,,,,,,,
$TROP,2342,230588.000,6,1,2.3917,0.1195,,,,,,,,,
$TROP,2342,230589.000,6,1,2.3919,0.1195,,,,,,,,,
$TROP,2342,230590.000,6,1,2.3919,0.1195,,,,,,,,,
$TROP,2342,230591.000,6,1,2.3921,0.1194,,,,,,,,,
$TROP,2342,230592.000,6,1,2.3922,0.1194,,,,,,,,,
$TROP,2342,230593.000,6,1,2.3923,0.1194,,,,,,,,,
$TROP,2342,230594.000,6,1,2.3924,0.1194,,,,,,,,,
$TROP,2342,230595.000,6,1,2.3925,0.1194,,,,,,,,,
